,geometry
2530,"POLYGON ((103.9693236389246 1.361199130336988, 103.970292032793 1.360640027876371, 103.970292032793 1.360230197654116, 103.970277050345 1.36021391733715, 103.970204210107 1.36007166086791, 103.970186622373 1.36003732506395, 103.970102620453 1.35989987319682, 103.970024653887 1.35974090802385, 103.96995763786 1.35957713734942, 103.96991259636 1.35943177008797, 103.9698703739022 1.359278378081057, 103.9693236389246 1.358962720494521, 103.9683552450561 1.359521822955138, 103.9683552450561 1.360640027876371, 103.9693236389246 1.361199130336988))"
2531,"POLYGON ((103.970292032793 1.360230197654132, 103.970292032793 1.360640027876371, 103.971181141278 1.361153354899499, 103.970756405902 1.36069581524548, 103.970615048757 1.36057765582113, 103.970600869639 1.36056578778939, 103.970292032793 1.360230197654132))"
2532,"POLYGON ((103.9625448818456 1.359521822955138, 103.963513275714 1.358962720494521, 103.963513275714 1.357844515573288, 103.9627029212625 1.357376657212586, 103.962612757197 1.35764175012868, 103.962532071614 1.35782852694, 103.962392808858 1.35812082605494, 103.962354294313 1.35819977079352, 103.962242366093 1.35842918904361, 103.962172194078 1.35857301893627, 103.962099158208 1.35871450668333, 103.962006075944 1.35888388060367, 103.9618550072896 1.359123523694529, 103.9625448818456 1.359521822955138))"
2533,"POLYGON ((103.9644816695824 1.359521822955138, 103.9654500634508 1.358962720494521, 103.9654500634508 1.357844515573288, 103.9644816695824 1.357285413112671, 103.963513275714 1.357844515573288, 103.963513275714 1.358962720494521, 103.9644816695824 1.359521822955138))"
2534,"POLYGON ((103.9664184573193 1.359521822955138, 103.9673868511877 1.358962720494521, 103.9673868511877 1.357844515573288, 103.9664184573193 1.357285413112671, 103.9654500634509 1.357844515573288, 103.9654500634509 1.358962720494521, 103.9664184573193 1.359521822955138))"
2535,"POLYGON ((103.9683552450561 1.359521822955138, 103.9693236389245 1.358962720494521, 103.9693236389245 1.357844515573288, 103.9683552450561 1.357285413112671, 103.9673868511877 1.357844515573288, 103.9673868511877 1.358962720494521, 103.9683552450561 1.359521822955138))"
2536,"POLYGON ((103.9694691311837 1.357760515578314, 103.9693236389246 1.357844515573288, 103.9693236389246 1.358962720494521, 103.9698703739022 1.359278378081057, 103.969821212637 1.35909977774524, 103.96977479918 1.35892470046336, 103.9694691311837 1.357760515578314))"
2537,"POLYGON ((103.963513275714 1.357844515573288, 103.9644816695824 1.357285413112671, 103.9644816695824 1.356167208191438, 103.963513275714 1.355608105730821, 103.9632534170085 1.355758135224411, 103.9627029212625 1.357376657212579, 103.963513275714 1.357844515573288))"
2538,"POLYGON ((103.9654500634509 1.357844515573288, 103.9664184573193 1.357285413112671, 103.9664184573193 1.356167208191438, 103.9654500634509 1.355608105730821, 103.9644816695824 1.356167208191438, 103.9644816695824 1.357285413112671, 103.9654500634509 1.357844515573288))"
2539,"POLYGON ((103.9673868511877 1.357844515573288, 103.9683552450561 1.357285413112671, 103.9683552450561 1.356167208191438, 103.9673868511877 1.355608105730821, 103.9664184573193 1.356167208191438, 103.9664184573193 1.357285413112671, 103.9673868511877 1.357844515573288))"
2540,"POLYGON ((103.9693236389246 1.357844515573288, 103.9694691311837 1.357760515578314, 103.969198789875 1.3567308779676, 103.968955954506 1.35588213452394, 103.968942832724 1.355827964293209, 103.9683552450561 1.356167208191438, 103.9683552450561 1.357285413112671, 103.9693236389246 1.357844515573288))"
2541,"POLYGON ((103.9632534170085 1.355758135224401, 103.963513275714 1.355608105730821, 103.963513275714 1.354933201177533, 103.963320909133 1.35555970047105, 103.9632534170085 1.355758135224401))"
2542,"POLYGON ((103.9644816695824 1.356167208191438, 103.9654500634508 1.355608105730821, 103.9654500634508 1.354489900809587, 103.9644816695824 1.353930798348971, 103.963696101166 1.354384346485676, 103.963564576733 1.3547661240688, 103.963513275714 1.354933201177486, 103.963513275714 1.355608105730821, 103.9644816695824 1.356167208191438))"
2543,"POLYGON ((103.9664184573193 1.356167208191438, 103.9673868511877 1.355608105730821, 103.9673868511877 1.354489900809587, 103.9664184573193 1.353930798348971, 103.9654500634509 1.354489900809587, 103.9654500634509 1.355608105730821, 103.9664184573193 1.356167208191438))"
2544,"POLYGON ((103.9683552450561 1.356167208191438, 103.968942832724 1.355827964293202, 103.968780131057 1.35515628823095, 103.96860319553 1.35456401169873, 103.968571671661 1.3544899688412, 103.968522632042 1.35439826387455, 103.968459587829 1.35431362456713, 103.968358282076 1.35418256831606, 103.968284496302 1.35409499766358, 103.9681977668681 1.354021718423198, 103.9673868511877 1.354489900809587, 103.9673868511877 1.355608105730821, 103.9683552450561 1.356167208191438))"
2545,"POLYGON ((103.963696101166 1.354384346485676, 103.9644816695824 1.35393079834897, 103.9644816695824 1.352812593427737, 103.9642865811249 1.352699959054237, 103.96405322437 1.35334772058561, 103.963696101166 1.354384346485676))"
2546,"POLYGON ((103.9654500634509 1.354489900809587, 103.9664184573193 1.35393079834897, 103.9664184573193 1.35333945513701, 103.965141478464 1.35295558512121, 103.965136402406 1.35295405883564, 103.9645447183185 1.352776192222983, 103.9644816695824 1.352812593427737, 103.9644816695824 1.35393079834897, 103.9654500634509 1.354489900809587))"
2547,"POLYGON ((103.9673868511877 1.354489900809587, 103.9681977668681 1.354021718423198, 103.968175962015 1.35400329511517, 103.968088418609 1.35393632116301, 103.967955349492 1.35385168485028, 103.967864297479 1.35380583878747, 103.967755729607 1.35375645583428, 103.967417126248 1.3536407805838, 103.967410619593 1.35363770701966, 103.9664184573193 1.353339455137015, 103.9664184573193 1.35393079834897, 103.9673868511877 1.354489900809587))"
2548,"POLYGON ((103.9644816695824 1.352812593427737, 103.9645447183185 1.35277619222298, 103.96428702503 1.35269872684356, 103.9642865811249 1.352699959054237, 103.9644816695824 1.352812593427737))"
2549,"POLYGON ((103.8542719955283 1.397648885805018, 103.8540847685818 1.397540790277076, 103.8539308879925 1.397629633276733, 103.854041911572 1.39763589987228, 103.8542719955283 1.397648885805018))"
2550,"POLYGON ((103.8423893371487 1.396379454397058, 103.8414956482923 1.395863482895226, 103.8410672990692 1.396110790434472, 103.842044898797 1.39631144657995, 103.8423893371487 1.396379454397058))"
2551,"POLYGON ((103.8444008298976 1.396573922220344, 103.8444008298976 1.396422585355843, 103.8434324360292 1.395863482895226, 103.8425006721822 1.396401437003102, 103.842681294537 1.39643710008188, 103.843639645213 1.39651683835209, 103.843808065298 1.39653085162853, 103.8444008298976 1.396573922220344))"
2552,"POLYGON ((103.8463376176344 1.39660776491656, 103.8463376176344 1.396422585355843, 103.845369223766 1.395863482895226, 103.8444008298976 1.396422585355843, 103.8444008298976 1.396573922220345, 103.844939857354 1.39661308824269, 103.8463376176344 1.39660776491656))"
2553,"POLYGON ((103.8482744053713 1.396536660331715, 103.8482744053713 1.396422585355843, 103.8473060115029 1.395863482895226, 103.8463376176344 1.396422585355843, 103.8463376176344 1.39660776491656, 103.846630574111 1.39660664920102, 103.847791742761 1.39655481862425, 103.8482744053713 1.396536660331715))"
2554,"POLYGON ((103.8502111931081 1.396488377972416, 103.8502111931081 1.396422585355843, 103.8492427992397 1.395863482895226, 103.8482744053713 1.396422585355843, 103.8482744053713 1.396536660331714, 103.849168198628 1.39650303485695, 103.849225592739 1.39650087575019, 103.84963026111 1.3964856507064, 103.849731149192 1.39648185528883, 103.850070958943 1.39646906607552, 103.8502111931081 1.396488377972416))"
2555,"POLYGON ((103.852147980845 1.39696448671707, 103.852147980845 1.396422585355843, 103.8511795869766 1.395863482895226, 103.8502111931082 1.396422585355843, 103.8502111931082 1.396488377972418, 103.851035952555 1.39660195706625, 103.851862480231 1.39682592093065, 103.851884241264 1.39683987871237, 103.851923934336 1.39684962653664, 103.852037131673 1.39690765867273, 103.852147980845 1.39696448671707))"
2556,"POLYGON ((103.8539308879925 1.397629633276733, 103.8540847685818 1.397540790277076, 103.8540847685818 1.396422585355843, 103.8531163747134 1.395863482895226, 103.852147980845 1.396422585355843, 103.852147980845 1.396964486717077, 103.852388191451 1.39708763332001, 103.852490973321 1.39714032524905, 103.853634962058 1.39760614263635, 103.853655357214 1.39761408277494, 103.853919375647 1.39762898347591, 103.8539308879925 1.397629633276733))"
2557,"POLYGON ((103.8560215563187 1.397373382231985, 103.8560215563187 1.396422585355843, 103.8550531624503 1.395863482895226, 103.8540847685819 1.396422585355843, 103.8540847685819 1.397540790277076, 103.8542719955283 1.397648885805019, 103.855181716936 1.39770023045851, 103.855534109378 1.39756308666209, 103.8560215563187 1.397373382231985))"
2558,"POLYGON ((103.8574953144441 1.396155255085006, 103.8569899501871 1.395863482895226, 103.8560215563187 1.396422585355843, 103.8560215563187 1.39737338223198, 103.856251586541 1.39728385915042, 103.856750856229 1.39695365462001, 103.857207339003 1.3965372889503, 103.857393296847 1.39629565997216, 103.857395456988 1.39629116526081, 103.857492633548 1.39616402514874, 103.8574953144441 1.396155255085006))"
2559,"POLYGON ((103.8192816950474 1.394220300221837, 103.8192225893185 1.394186175513376, 103.8190649025584 1.394277216006776, 103.8192816950474 1.394220300221837))"
2560,"POLYGON ((103.8356514995219 1.394725771871899, 103.8347168912133 1.394186175513376, 103.8343839269757 1.394378412505584, 103.834401091199 1.39438263484276, 103.834453340014 1.39439548944963, 103.834493538876 1.39440537684273, 103.834679551169 1.39445113666214, 103.835040815283 1.39454000738192, 103.8356514995219 1.394725771871899))"
2561,"POLYGON ((103.8376220728186 1.395259376835426, 103.8376220728186 1.394745277973993, 103.8366536789502 1.394186175513376, 103.8356957541206 1.39473923367162, 103.836425926941 1.39496134467103, 103.836539988208 1.39498976415904, 103.8376220728186 1.395259376835426))"
2562,"POLYGON ((103.8395588605554 1.395749628400093, 103.8395588605554 1.394745277973993, 103.838590466687 1.394186175513376, 103.8376220728186 1.394745277973993, 103.8376220728186 1.39525937683543, 103.83896694321 1.39559446533227, 103.8395588605554 1.395749628400093))"
2563,"POLYGON ((103.8410672990692 1.39611079043447, 103.8414956482923 1.395863482895226, 103.8414956482923 1.394745277973993, 103.8405272544239 1.394186175513376, 103.8395588605555 1.394745277973993, 103.8395588605555 1.395749628400097, 103.840465100176 1.39598718677001, 103.8410672990692 1.39611079043447))"
2564,"POLYGON ((103.8425006721822 1.3964014370031, 103.8434324360291 1.395863482895226, 103.8434324360291 1.394745277973993, 103.8424640421607 1.394186175513376, 103.8414956482923 1.394745277973993, 103.8414956482923 1.395863482895226, 103.8423893371487 1.396379454397058, 103.8425006721822 1.3964014370031))"
2565,"POLYGON ((103.8444008298976 1.396422585355843, 103.845369223766 1.395863482895226, 103.845369223766 1.394745277973993, 103.8444008298976 1.394186175513376, 103.8434324360292 1.394745277973993, 103.8434324360292 1.395863482895226, 103.8444008298976 1.396422585355843))"
2566,"POLYGON ((103.8463376176344 1.396422585355843, 103.8473060115029 1.395863482895226, 103.8473060115029 1.394745277973993, 103.8463376176344 1.394186175513376, 103.845369223766 1.394745277973993, 103.845369223766 1.395863482895226, 103.8463376176344 1.396422585355843))"
2567,"POLYGON ((103.8482744053713 1.396422585355843, 103.8492427992397 1.395863482895226, 103.8492427992397 1.394745277973993, 103.8482744053713 1.394186175513376, 103.8473060115029 1.394745277973993, 103.8473060115029 1.395863482895226, 103.8482744053713 1.396422585355843))"
2568,"POLYGON ((103.8502111931081 1.396422585355843, 103.8511795869766 1.395863482895226, 103.8511795869766 1.394745277973993, 103.8502111931081 1.394186175513376, 103.8492427992397 1.394745277973993, 103.8492427992397 1.395863482895226, 103.8502111931081 1.396422585355843))"
2569,"POLYGON ((103.852147980845 1.396422585355843, 103.8531163747134 1.395863482895226, 103.8531163747134 1.394745277973993, 103.852147980845 1.394186175513376, 103.8511795869766 1.394745277973993, 103.8511795869766 1.395863482895226, 103.852147980845 1.396422585355843))"
2570,"POLYGON ((103.8540847685818 1.396422585355843, 103.8550531624503 1.395863482895226, 103.8550531624503 1.394745277973993, 103.8540847685818 1.394186175513376, 103.8531163747134 1.394745277973993, 103.8531163747134 1.395863482895226, 103.8540847685818 1.396422585355843))"
2571,"POLYGON ((103.8560215563187 1.396422585355843, 103.8569899501871 1.395863482895226, 103.8569899501871 1.394745277973993, 103.8560215563187 1.394186175513376, 103.8550531624503 1.394745277973993, 103.8550531624503 1.395863482895226, 103.8560215563187 1.396422585355843))"
2572,"POLYGON ((103.8578937805559 1.394223451267269, 103.8569899501871 1.394745277973993, 103.8569899501871 1.395863482895226, 103.8574953144441 1.396155255085005, 103.857663797434 1.39560409363325, 103.85771842437 1.3952999825787, 103.857819755882 1.39473586728444, 103.8578937805559 1.394223451267269))"
2573,"POLYGON ((103.8190649025584 1.394277216006776, 103.8192225893185 1.394186175513376, 103.8192225893185 1.393067970592143, 103.8185746937619 1.392693907918123, 103.818606315593 1.39282381143841, 103.818749255906 1.39344722395447, 103.818822489134 1.39434085820395, 103.8190649025584 1.394277216006776))"
2574,"POLYGON ((103.8211593770554 1.393727341513424, 103.8211593770554 1.393067970592143, 103.8201909831869 1.392508868131526, 103.8192225893185 1.393067970592143, 103.8192225893185 1.394186175513376, 103.8192816950474 1.394220300221834, 103.8211593770554 1.393727341513424))"
2575,"POLYGON ((103.8230961647922 1.3932188679102, 103.8230961647922 1.393067970592143, 103.8221277709238 1.392508868131526, 103.8211593770554 1.393067970592143, 103.8211593770554 1.39372734151342, 103.821893353597 1.3935346464104, 103.8230961647922 1.3932188679102))"
2576,"POLYGON ((103.8248549443562 1.392965197525617, 103.8240645586606 1.392508868131526, 103.8230961647922 1.393067970592143, 103.8230961647922 1.393218867910196, 103.823404706257 1.39313786537099, 103.823653869819 1.39309960638677, 103.823919898801 1.39306188011427, 103.824188541725 1.39302878054842, 103.82445674432 1.39300020277053, 103.824725862549 1.39297480290069, 103.8248549443562 1.392965197525617))"
2577,"POLYGON ((103.8267096200103 1.392917790092535, 103.8260013463975 1.392508868131526, 103.8252582627544 1.392937887672885, 103.825263221034 1.39293756943095, 103.825532814555 1.39292481790624, 103.825801526555 1.3929157046044, 103.826071135321 1.39291153724181, 103.82634032264 1.39291146661631, 103.826609509949 1.39291496548499, 103.8267096200103 1.392917790092535))"
2578,"POLYGON ((103.8289065280028 1.393154278688165, 103.8289065280028 1.393067970592143, 103.8279381341343 1.392508868131526, 103.8271957631442 1.39293747622251, 103.827291690409 1.39294308402424, 103.8273721267 1.39294778601935, 103.8289065280028 1.393154278688165))"
2579,"POLYGON ((103.8308433157396 1.393525115425034, 103.8308433157396 1.393067970592143, 103.8298749218712 1.392508868131526, 103.8289065280028 1.393067970592143, 103.8289065280028 1.393154278688167, 103.82973496677 1.3932657661665, 103.8308433157396 1.393525115425034))"
2580,"POLYGON ((103.8327801034765 1.394004978803176, 103.8327801034765 1.393067970592143, 103.831811709608 1.392508868131526, 103.8308433157396 1.393067970592143, 103.8308433157396 1.393525115425037, 103.831516931607 1.39368273886362, 103.832357139126 1.39390771802298, 103.8327801034765 1.394004978803176))"
